attack,arm,mode,expected_records,observed_records,result_shards,missing_records,duplicate_pair_ids,error_records,missing_csv,missing_report
A01,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A01,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A01,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A01,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A02,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A02,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A02,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A02,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A03,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A03,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A03,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A03,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A04,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A04,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A04,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A04,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A05,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A05,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A05,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A05,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A06,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A06,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A06,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A06,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A07,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A07,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A07,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A07,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A08,guards_off,secure_rag_mode,225,225,5,0,0,0,0,0
A08,guards_off,sensitivity_eval_mode,225,225,5,0,0,0,0,0
A08,guards_on,secure_rag_mode,225,225,5,0,0,0,0,0
A08,guards_on,sensitivity_eval_mode,225,225,5,0,0,0,0,0
