attack,pair_id,guard_off_present,guard_on_present,prompt_sequence_equal,guard_off_prompt_sha256,guard_on_prompt_sha256,prompt_style,attack_family_label_present,prompt_style_source,original_top_level_prompt_style_available
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history1__iteration01,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history1__iteration02,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history1__iteration03,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history1__iteration04,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history1__iteration05,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history3__iteration01,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history3__iteration02,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history3__iteration03,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history3__iteration04,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history3__iteration05,True,True,True,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,3b21e24d63427a183120149a15b8f5f4b2c16bcf6948ebb06fb423decb6d4be8,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history5__iteration01,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history5__iteration02,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history5__iteration03,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history5__iteration04,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__internal__history5__iteration05,True,True,True,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,6f903f1f94281b319c15922e3b5ae85aeb30769c037c9f89c2c418d42e2841d6,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history1__iteration01,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history1__iteration02,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
A03,A03__secure_rag_mode__t1_r001_avocadoel__protected__history1__iteration03,True,True,True,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,9f7e5653a7dd89c31f43275c8c7628456b9334c1d805e00da3d246e6c503ea81,inferred-neutral,False,offline_record_audit,False
