Started Attack 2 at 2026-06-24T17:18:10+02:00
SLURM_JOB_ID=14476197
SLURM_ARRAY_TASK_ID=1
RAG_MODE=sensitivity_eval_mode
OUT_DIR=outputs/experiments/gpt4o_mini_slurm_temporal_20260624/attack_02_multiturn_row_construction/sensitivity_eval_mode
[run] target=t1_r001_avocadoel access=public turns=1 iteration=1/5
[run] target=t1_r001_avocadoel access=public turns=1 iteration=2/5
[run] target=t1_r001_avocadoel access=public turns=1 iteration=3/5
[run] target=t1_r001_avocadoel access=public turns=1 iteration=4/5
[run] target=t1_r001_avocadoel access=public turns=1 iteration=5/5
[run] target=t1_r001_avocadoel access=public turns=3 iteration=1/5
[run] target=t1_r001_avocadoel access=public turns=3 iteration=2/5
[run] target=t1_r001_avocadoel access=public turns=3 iteration=3/5
[run] target=t1_r001_avocadoel access=public turns=3 iteration=4/5
[run] target=t1_r001_avocadoel access=public turns=3 iteration=5/5
[run] target=t1_r001_avocadoel access=public turns=5 iteration=1/5
[run] target=t1_r001_avocadoel access=public turns=5 iteration=2/5
[run] target=t1_r001_avocadoel access=public turns=5 iteration=3/5
[run] target=t1_r001_avocadoel access=public turns=5 iteration=4/5
[run] target=t1_r001_avocadoel access=public turns=5 iteration=5/5
[run] target=t1_r001_avocadoel access=internal turns=1 iteration=1/5
[run] target=t1_r001_avocadoel access=internal turns=1 iteration=2/5
[run] target=t1_r001_avocadoel access=internal turns=1 iteration=3/5
[run] target=t1_r001_avocadoel access=internal turns=1 iteration=4/5
[run] target=t1_r001_avocadoel access=internal turns=1 iteration=5/5
[run] target=t1_r001_avocadoel access=internal turns=3 iteration=1/5
[run] target=t1_r001_avocadoel access=internal turns=3 iteration=2/5
[run] target=t1_r001_avocadoel access=internal turns=3 iteration=3/5
[run] target=t1_r001_avocadoel access=internal turns=3 iteration=4/5
[run] target=t1_r001_avocadoel access=internal turns=3 iteration=5/5
[run] target=t1_r001_avocadoel access=internal turns=5 iteration=1/5
[run] target=t1_r001_avocadoel access=internal turns=5 iteration=2/5
[run] target=t1_r001_avocadoel access=internal turns=5 iteration=3/5
[run] target=t1_r001_avocadoel access=internal turns=5 iteration=4/5
[run] target=t1_r001_avocadoel access=internal turns=5 iteration=5/5
[run] target=t1_r001_avocadoel access=protected turns=1 iteration=1/5
[run] target=t1_r001_avocadoel access=protected turns=1 iteration=2/5
[run] target=t1_r001_avocadoel access=protected turns=1 iteration=3/5
[run] target=t1_r001_avocadoel access=protected turns=1 iteration=4/5
[run] target=t1_r001_avocadoel access=protected turns=1 iteration=5/5
[run] target=t1_r001_avocadoel access=protected turns=3 iteration=1/5
[run] target=t1_r001_avocadoel access=protected turns=3 iteration=2/5
[run] target=t1_r001_avocadoel access=protected turns=3 iteration=3/5
[run] target=t1_r001_avocadoel access=protected turns=3 iteration=4/5
[run] target=t1_r001_avocadoel access=protected turns=3 iteration=5/5
[run] target=t1_r001_avocadoel access=protected turns=5 iteration=1/5
[run] target=t1_r001_avocadoel access=protected turns=5 iteration=2/5
[run] target=t1_r001_avocadoel access=protected turns=5 iteration=3/5
[run] target=t1_r001_avocadoel access=protected turns=5 iteration=4/5
[run] target=t1_r001_avocadoel access=protected turns=5 iteration=5/5
[run] target=t2_r002_sonnenblumenoel access=public turns=1 iteration=1/5
[run] target=t2_r002_sonnenblumenoel access=public turns=1 iteration=2/5
[run] target=t2_r002_sonnenblumenoel access=public turns=1 iteration=3/5
[run] target=t2_r002_sonnenblumenoel access=public turns=1 iteration=4/5
[run] target=t2_r002_sonnenblumenoel access=public turns=1 iteration=5/5
[run] target=t2_r002_sonnenblumenoel access=public turns=3 iteration=1/5
[run] target=t2_r002_sonnenblumenoel access=public turns=3 iteration=2/5
[run] target=t2_r002_sonnenblumenoel access=public turns=3 iteration=3/5
[run] target=t2_r002_sonnenblumenoel access=public turns=3 iteration=4/5
[run] target=t2_r002_sonnenblumenoel access=public turns=3 iteration=5/5
[run] target=t2_r002_sonnenblumenoel access=public turns=5 iteration=1/5
[run] target=t2_r002_sonnenblumenoel access=public turns=5 iteration=2/5
[run] target=t2_r002_sonnenblumenoel access=public turns=5 iteration=3/5
[run] target=t2_r002_sonnenblumenoel access=public turns=5 iteration=4/5
[run] target=t2_r002_sonnenblumenoel access=public turns=5 iteration=5/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=1 iteration=1/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=1 iteration=2/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=1 iteration=3/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=1 iteration=4/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=1 iteration=5/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=3 iteration=1/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=3 iteration=2/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=3 iteration=3/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=3 iteration=4/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=3 iteration=5/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=5 iteration=1/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=5 iteration=2/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=5 iteration=3/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=5 iteration=4/5
[run] target=t2_r002_sonnenblumenoel access=internal turns=5 iteration=5/5
