attack,evidence_purpose,pre_source,post_source,pre_code_stage,post_code_stage,prompt_match,valid_causal_comparison,dataset,model,temperature,embedding_model,retrieval_k,denominator,dataset_hash,index_size,synthetic_rows,system_prompt,warm_up_prompts,prompt_hash,guard_configuration,scorer_version,target_definition,source_state_note
A01,descriptive original baseline,outputs/experiments/gpt4o_mini_slurm_attacks01_07_08_neutral_prehardened_20260719,N/A,original implementation; commit 9379b47 inferred from detached baseline worktree,N/A,N/A; no comparison,No; descriptive only,data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,not captured in original run,300,0,not stored in result/manifests,exact text not available for the compared original package records,not jointly available,original implementation; individual guard flags not logged,attack-specific stored scorer; version not logged,five deterministic targets stored in each result JSON,Original result files do not contain a complete source-state manifest.
A01,matched guard ablation,outputs/experiments/methodology_correction_a01_20260723T090000Z/A01/pre_hardening,outputs/experiments/methodology_correction_a01_20260723T090000Z/A01/post_hardening,hardened working tree at e66ee5a with switchable guards off,same hardened working tree with switchable guards on,Exact; manifest hash fd44b5b0… in both arms,"Yes, for the switched guards; not original-versus-hardened causality",data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,bbeaf08104ae59a1d3cdc035c03c7509dccb09b643854ae42136ddffc843e236,300,0,not stored in result/manifests,exact text not stored; warm-up counts and conditions match,fd44b5b010ee75ca43999007dbdefcc5533fdb8665fc34675f665826ad84ef7c,same hardened code; false in guards-off arm and true in guards-on arm,methodology-correction-v1,five deterministic targets stored in each result JSON,"Correction manifest records e66ee5a, but the working tree was dirty and no source-tree hash was captured."
A02,policy-aware descriptive package comparison,outputs/rescoring/a02_policy_aware_20260722T155853Z/pre_hardening,outputs/rescoring/a02_policy_aware_20260722T155853Z/post_hardening,original implementation; baseline worktree based on 9379b47,hardened implementation; exact run commit/dirty state not captured,Attack prompt differs in 450/450 conversations; warm-ups match,No; report as descriptive package comparison,data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,not captured in original run,300,0,not stored in result/manifests,stored and equal across original/hardened records,not jointly available,different implementation packages; flags incompletely captured,a02-policy-aware-v1,five deterministic targets stored in each result JSON,Original result files do not contain a complete source-state manifest.
A03,descriptive package comparison,outputs/experiments/gpt4o_mini_slurm_attacks01_07_08_neutral_prehardened_20260719/attack_03_access_level_downgrade_task,outputs/experiments/post hardened 1-8/attack_03_access_level_downgrade_task,original implementation; baseline worktree based on 9379b47,hardened implementation; exact run commit/dirty state not captured,Final attack prompts match; seed prompts differ in all 450 conversations,No strong causal wording; package-level association only,data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,not captured in original run,300,0,not stored in result/manifests,final attack prompt equal; protected seed prompt differs,not jointly available,different implementation packages; flags incompletely captured,attack-specific stored scorer; version not logged,five deterministic targets stored in each result JSON,Original result files do not contain a complete source-state manifest.
A04,descriptive package comparison,outputs/experiments/gpt4o_mini_slurm_attacks01_07_08_neutral_prehardened_20260719/attack_04_relational_join_path_inference,outputs/experiments/post hardened 1-8/attack_04_relational_join_path_inference,original implementation; baseline worktree based on 9379b47,hardened implementation; exact run commit/dirty state not captured,Exact prompt text not stored,No; descriptive package comparison,data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,not captured in original run,300,0,not stored in result/manifests,exact text not available for the compared original package records,not jointly available,different implementation packages; flags incompletely captured,attack-specific stored scorer; version not logged,five deterministic targets stored in each result JSON,Original result files do not contain a complete source-state manifest.
A05,descriptive original baseline,outputs/experiments/gpt4o_mini_slurm_attacks01_07_08_neutral_prehardened_20260719/attack_05_rank_probing_membership_inference,N/A,original implementation; baseline worktree based on 9379b47,N/A,N/A; no comparison,No; descriptive only,data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,not captured in original run,300,0,not stored in result/manifests,exact text not available for the compared original package records,not jointly available,original implementation; individual guard flags not logged,attack-specific stored scorer; version not logged,five deterministic targets stored in each result JSON,Original result files do not contain a complete source-state manifest.
A05,matched guard ablation,outputs/experiments/methodology_correction_20260722T160300Z/A05/pre_hardening,outputs/experiments/methodology_correction_20260722T160300Z/A05/post_hardening,hardened working tree at e66ee5a with switchable guards off,same hardened working tree with switchable guards on,Exact; manifest hash 93fde83b… in both arms,"Yes, for the switched guards; not original-versus-hardened causality",data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,bbeaf08104ae59a1d3cdc035c03c7509dccb09b643854ae42136ddffc843e236,300,0,not stored in result/manifests,stored and equal across guards-off/on records,93fde83b61b40d67c67c5c2424045bc80162164456d4c83305d9f33f99cdf4ec,same hardened code; false in guards-off arm and true in guards-on arm,methodology-correction-v1,five deterministic targets stored in each result JSON,"Correction manifest records e66ee5a, but the working tree was dirty and no source-tree hash was captured."
A06,prompt-matched descriptive package comparison,outputs/experiments/gpt4o_mini_slurm_attacks01_07_08_neutral_prehardened_20260719/attack_06_prompt_injection_poisoned_row,outputs/experiments/post hardened 1-8/attack_06_prompt_injection_poisoned_row,original implementation; baseline worktree based on 9379b47,hardened implementation; exact run commit/dirty state not captured,Attack and warm-up prompts match in all stored pairs,No isolated guard causality; package-level association only,data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,not captured in original run,305,5,not stored in result/manifests,stored and equal across original/hardened records,not jointly available,different implementation packages; flags incompletely captured,attack-specific stored scorer; version not logged,five deterministic targets stored in each result JSON,Original result files do not contain a complete source-state manifest.
A07-S,matched synthetic-family guard ablation,outputs/experiments/methodology_correction_20260722T160300Z/A07-S/pre_hardening,outputs/experiments/methodology_correction_20260722T160300Z/A07-S/post_hardening,hardened working tree at e66ee5a with switchable guards off,same hardened working tree with switchable guards on,Exact; manifest hash 7cab… in both arms,"Yes, for the switched guards; actual path was membership guard",data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,bbeaf08104ae59a1d3cdc035c03c7509dccb09b643854ae42136ddffc843e236,305,5,not stored in result/manifests,stored and equal across guards-off/on records,7cabfff1ef0f9dea7ef3077946578675a5d4bac73b7c75d1aefdec54379655fc,same hardened code; false in guards-off arm and true in guards-on arm,methodology-correction-v1,five deterministic targets stored in each result JSON,"Correction manifest records e66ee5a, but the working tree was dirty and no source-tree hash was captured."
A07-N,matched natural-family guard ablation,outputs/experiments/methodology_correction_20260722T160300Z/A07-N/pre_hardening,outputs/experiments/methodology_correction_20260722T160300Z/A07-N/post_hardening,hardened working tree at e66ee5a with switchable guards off,same hardened working tree with switchable guards on,Exact; manifest hash 6671… in both arms,"Yes, for the switched guards; security outcome was zero in both arms",data/SiSWiss_Testdaten.xlsx,gpt-4o-mini,0.0,sentence-transformers/all-MiniLM-L6-v2,5,150 unauthorised; 75 protected positive controls per mode,bbeaf08104ae59a1d3cdc035c03c7509dccb09b643854ae42136ddffc843e236,305,5,not stored in result/manifests,stored and equal across guards-off/on records,6671c75263a2f934647aa638cb3d000bb8e80dba47a1dab8e94abc9c66e86437,same hardened code; false in guards-off arm and true in guards-on arm,methodology-correction-v1,five deterministic targets stored in each result JSON,"Correction manifest records e66ee5a, but the working tree was dirty and no source-tree hash was captured."
